NIS,NISN,Nama,Tempat Lahir,Tanggal Lahir,JK,Agama,Alamat,Telepon Siswa,Diterima Tanggal,Nama Ayah,Nama Ibu,Pekerjaan Ayah,Pekerjaan Ibu,Penghasilan Ibu,Nama Wali,Pekerjaan Wali,NIK Siswa,pelengkap_siswa_id,peserta_didik_id,status_dalam_kel,anak_ke,sekolah_asal,diterima_kelas,alamat_ortu,telepon_ortu,alamat_wali,telepon_wali
75717982,5066777809,Taufan Oktaviani,Sibolga,2010-08-26,P,Hindu,"Jl. Peta No. 93, Balikpapan, JB 88574",+62 (02) 092-0806,2020-01-22,Dian Haryanto,Laila Marpaung,"Engineer, energy","Therapist, occupational",3-5jt,"T. Martana Siregar, S.Sos",Personal assistant,8931980211693715,05f8b703-c85a-41f0-8db3-23d9db8e97fb,b0d0c17a-a8bd-46c5-8b85-9267600f8cf2,Anak Tiri,3,CV Wijaya Prastuti Tbk School,3,"Gang Antapani Lama No. 966, Bima, SG 17978",+62 (0656) 556 1911,"Jalan Tubagus Ismail No. 17, Kota Administrasi Jakarta Selatan, Kalimantan Tengah 33735",+62-090-475-7538
13824384,5431391620,Jatmiko Hidayanto,Bau-Bau,2008-03-03,L,Islam,"Gang Ronggowarsito No. 291, Pematangsiantar, Lampung 85731",+62 (36) 061-1385,2023-06-08,Salsabila Anggraini,"dr. Balangga Nainggolan, S.Sos",Environmental consultant,"Conservation officer, nature",<1jt,Rahayu Firgantoro,Bonds trader,5971102954932041,990ffc5a-6dd3-4d8e-ab54-21f16350625c,b60070e8-112e-4f44-8958-0ff256920bcc,Anak Tiri,3,Perum Zulaika Sitorus Tbk School,6,"Jl. Cempaka No. 75, Binjai, Sumatera Barat 05919",+62 (0053) 211 3192,"Jalan Sukajadi No. 2, Ambon, Sulawesi Utara 06904",+62-022-800-1011
54652771,2777453117,Wira Lailasari,Bekasi,2008-09-20,L,Hindu,"Gg. Dipatiukur No. 24, Ambon, JT 75386",+62-0270-276-8790,2020-05-30,Pranawa Prastuti,"Kezia Melani, S.T.","Surveyor, building control",Tree surgeon,>5jt,Raina Rahimah,Personal assistant,3623385727094998,a381ea7b-13a2-4f39-b42d-2d30232cd32a,e2f57bed-c398-4768-8762-7fcf612082f8,Anak Tiri,5,UD Zulkarnain Narpati School,5,"Jl. Dr. Djunjunan No. 2, Cirebon, LA 72834",(0452) 433-1022,"Gg. Ronggowarsito No. 942, Kendari, Kalimantan Utara 31328",+62-012-349-9077
20806433,2124435864,Elma Mandala,Bukittinggi,2008-04-30,L,Katolik,"Jalan Pelajar Pejuang No. 70, Kota Administrasi Jakarta Barat, Sulawesi Tengah 35294",+62 (0308) 237-7595,2023-10-23,"Kamaria Safitri, M.Ak",Lembah Hidayanto,Emergency planning/management officer,Publishing rights manager,<1jt,"Yuni Wulandari, S.H.",Telecommunications researcher,8731455734906308,e267b00f-c4ad-4658-8a1e-744fffaaea4f,ec1331c0-5e39-4ef4-a413-172bda2e06f0,Anak Tiri,2,PD Sitorus Gunarto School,5,"Gang Rajiman No. 06, Kendari, Maluku 42155",+62-592-949-5818,"Jalan Medokan Ayu No. 021, Prabumulih, SU 70088",(013) 575 5575
17486685,3689007482,Calista Utami,Kota Administrasi Jakarta Utara,2011-09-26,P,Islam,"Gg. Sukabumi No. 022, Kota Administrasi Jakarta Utara, Papua Barat 43176",+62 (322) 584-8539,2020-12-27,Wage Napitupulu,"Ir. Emas Prabowo, M.TI.",Curator,"Designer, industrial/product",3-5jt,Kartika Maulana,Technical brewer,4829585991265953,86dc968b-d765-40c5-8c08-aaf8494129ca,20bb4afa-745e-4aa7-b9ee-21a89163b1fc,Anak Angkat,1,PD Hasanah Adriansyah (Persero) Tbk School,2,"Gg. Ahmad Yani No. 25, Pangkalpinang, JA 43894",+62 (181) 056-6604,"Jalan R.E Martadinata No. 170, Bandar Lampung, Jawa Tengah 73144",+62 (548) 897-8249
54853838,9719417773,R.M. Irwan Saputra,Palu,2014-10-22,L,Konghucu,"Gg. Cihampelas No. 9, Banjarmasin, Papua 97408",+62 (080) 127 4439,2024-09-21,"Marwata Kusumo, S.Pt","Padmi Situmorang, M.Ak","Surveyor, mining",Museum/gallery conservator,3-5jt,"Digdaya Zulkarnain, M.Pd",Translator,4076953216956593,a39e45b0-563a-4191-b347-787f45b03484,2478f79b-2f2a-4148-b595-f24eed6a6335,Anak Kandung,4,Perum Budiyanto School,2,"Jalan Jamika No. 126, Malang, NT 02941",0806582158,"Jalan Kendalsari No. 364, Malang, Kepulauan Riau 82247",(020) 463-0239
25361188,2889157347,Lili Maulana,Makassar,2010-08-24,L,Katolik,"Gang Sukajadi No. 1, Tebingtinggi, Kepulauan Bangka Belitung 11885",080 728 4542,2024-05-17,Maman Wibisono,Luis Winarsih,Mechanical engineer,Armed forces training and education officer,>5jt,Laila Prakasa,"Surveyor, building control",1146922692452227,77a3cba0-335b-4b09-8e67-e11022960e2e,e2cef7a6-5975-46ae-a165-2c87bb9789b9,Anak Tiri,4,Perum Puspita Tbk School,5,"Gang Kutai No. 772, Bogor, Sulawesi Utara 53762",+62 (63) 033-1727,"Jalan Pelajar Pejuang No. 488, Binjai, JT 88390",0851301398
67569152,3946999675,"Lasmanto Megantara, S.Gz",Madiun,2010-07-25,P,Konghucu,"Jalan Erlangga No. 0, Kendari, Jawa Timur 39632",0855690875,2023-07-16,"Victoria Purwanti, S.I.Kom",Ajeng Hutasoit,Materials engineer,Automotive engineer,1-3jt,Prayogo Pertiwi,"Scientist, product/process development",7677102432030978,2a359b01-f2a9-4aef-a454-10e38928fffb,dae3a9ed-8ab0-4449-a2bb-737986d7249d,Anak Angkat,1,PT Agustina Tbk School,6,"Jalan Cempaka No. 683, Binjai, JT 27506",+62-068-176-8430,"Jl. Cihampelas No. 936, Gorontalo, RI 17051",(0453) 416-6958
10715129,5902180466,"Clara Nababan, S.Kom",Metro,2013-12-08,P,Budha,"Gg. Kendalsari No. 6, Palopo, BB 76481",(0321) 222 3908,2021-12-24,Nabila Hariyah,Winda Kusmawati,Broadcast journalist,Mechanical engineer,3-5jt,Puspa Firmansyah,Manufacturing systems engineer,6186850607037172,1c1c7222-38a5-4700-aec2-949d08d2b89b,dc1f8c12-e85d-4fc6-8d85-e3026e5c7d4e,Anak Kandung,1,CV Lestari School,6,"Gg. Medokan Ayu No. 1, Bukittinggi, PA 46668",+62 (0730) 191-1576,"Jl. Wonoayu No. 61, Sabang, Kepulauan Bangka Belitung 80292",(000) 850-4998
20971127,8784823095,Cinta Yuniar,Purwokerto,2018-06-29,L,Konghucu,"Gang Raya Ujungberung No. 30, Cirebon, Sulawesi Tenggara 06647",+62 (098) 346-1555,2021-04-24,Drs. Jessica Nainggolan,"Dt. Praba Rahimah, S.IP","Research officer, political party",Outdoor activities/education manager,3-5jt,"Ami Adriansyah, M.Kom.","Radiographer, therapeutic",1278177461069231,7dceaf2b-0789-41a4-9159-9cf414bffc01,fb04df70-d02e-4251-be13-bd5a4bab5723,Anak Kandung,2,CV Maheswara School,1,"Gg. Jayawijaya No. 66, Pekanbaru, SU 63793",(0422) 171-6125,"Gang Rungkut Industri No. 09, Sungai Penuh, Nusa Tenggara Barat 18498",(023) 954-4948
50155588,1177114362,Icha Safitri,Sabang,2008-04-01,L,Hindu,"Jl. Jamika No. 55, Tanjungpinang, SN 94644",+62-41-376-7627,2022-09-23,KH. Eluh Wijaya,Yulia Pudjiastuti,"Designer, exhibition/display","Buyer, industrial",>5jt,"Drs. Muhammad Ramadan, S.H.",Photographer,4698878168572496,3116de1d-00c4-4bfa-b47a-079bcae5fe2a,c26d1ff4-d43f-4954-96a1-58bad11e115b,Anak Kandung,3,Perum Suartini Prabowo School,2,"Gg. Bangka Raya No. 789, Bandung, MA 69250",(007) 727 4524,"Jalan Suryakencana No. 1, Tangerang Selatan, PB 53679",(097) 352 0764
76149227,4569167759,Karsa Rajata,Tanjungbalai,2015-03-14,P,Hindu,"Jl. Siliwangi No. 693, Tangerang Selatan, JI 15618",(0554) 443 9079,2023-03-11,Ibrahim Laksmiwati,Yance Maryati,"Designer, interior/spatial","Journalist, broadcasting",3-5jt,Keisha Hartati,Race relations officer,8570396151946791,8ffe0eb1-a855-4b88-85ff-baa832b33a3e,a81c377d-f64e-4ede-aa4c-15e30fce4fbd,Anak Tiri,4,Perum Gunarto Namaga School,1,"Gang Asia Afrika No. 7, Tomohon, Banten 00643",0839783451,"Gang H.J Maemunah No. 83, Tangerang Selatan, Maluku 12883",+62 (940) 810 0289
65333263,4370391582,Gaiman Ardianto,Kotamobagu,2015-07-26,L,Kristen,"Gang Lembong No. 53, Palopo, Banten 48391",+62 (0928) 255 5340,2023-04-02,H. Mulyanto Namaga,Jelita Sudiati,Materials engineer,Animal technologist,1-3jt,Zelaya Permadi,Government social research officer,1813379176295045,9988ecf4-a201-4c4a-afe1-b709d8ed3181,a041b482-1ff2-4ee9-8151-9bfd2c176676,Anak Angkat,5,Perum Setiawan Yolanda Tbk School,1,"Jl. Ciumbuleuit No. 988, Palangkaraya, Kalimantan Selatan 37034",+62 (0552) 169-3046,"Jalan Monginsidi No. 432, Kota Administrasi Jakarta Pusat, PB 68875",(0296) 706-2324
65410078,5931538223,Bala Kusmawati,Tanjungpinang,2012-03-07,P,Hindu,"Jalan Siliwangi No. 84, Pekalongan, KT 33281",+62 (31) 928-9887,2019-06-11,Sutan Mahmud Tarihoran,Mulyono Permadi,Fisheries officer,"Teacher, adult education",1-3jt,Puti Michelle Rajata,Commercial horticulturist,9193166244747254,72c8c2fa-a285-4374-830e-cff3d547cbfb,ce3fad39-0334-4666-aa79-02643818bda8,Anak Kandung,2,Perum Hidayanto (Persero) Tbk School,6,"Jalan Veteran No. 3, Kota Administrasi Jakarta Selatan, Sumatera Selatan 10537",+62 (0491) 395-0628,"Jalan Medokan Ayu No. 75, Magelang, Kalimantan Tengah 81237",+62-019-044-2952
10823638,2195048510,Samsul Aryani,Sibolga,2012-09-11,P,Islam,"Gang Kebonjati No. 41, Palopo, ST 90581",(0549) 458-1409,2023-03-07,Umaya Nuraini,Rusman Sitompul,Furniture designer,"Engineer, technical sales",<1jt,Novi Wulandari,Writer,3623513096420260,ad629642-4fa2-41db-ad6b-f8015fa737a2,9bdf33f6-b170-4c96-b3c7-569d1a81bdbf,Anak Angkat,2,CV Putra Prasetya School,5,"Gang Sentot Alibasa No. 2, Bengkulu, Jawa Timur 46445",(056) 480-7126,"Gg. HOS. Cokroaminoto No. 06, Padangpanjang, JA 31297",+62-663-906-9171
61868991,7050917283,"Wisnu Hariyah, M.M.",Tidore Kepulauan,2008-03-30,L,Budha,"Jalan Rungkut Industri No. 269, Blitar, KI 80023",+62 (268) 791-6375,2023-02-20,Kania Usamah,"Ulya Permadi, S.Sos","Surveyor, insurance",Academic librarian,<1jt,"Arsipatra Nasyidah, S.Pd",Herbalist,7837216366199751,bba5ade1-795e-475c-9d12-d2ce15a18c1b,14daf439-70c3-477a-b476-2eb78ad2a0cb,Anak Kandung,5,CV Suwarno School,2,"Jl. Sukabumi No. 633, Tanjungbalai, Jambi 55558",+62 (0775) 650-5386,"Jalan HOS. Cokroaminoto No. 93, Denpasar, SS 09314",+62-12-068-3948
23081632,1273991693,Anastasia Puspasari,Cimahi,2010-04-27,P,Islam,"Jalan Ronggowarsito No. 729, Tanjungbalai, KI 55099",+62 (125) 214-3666,2021-05-24,"Betania Tampubolon, M.Farm",Nasab Wacana,Prison officer,Merchant navy officer,1-3jt,Lalita Melani,Newspaper journalist,4288147717643480,8bd39cec-d14b-4e63-823b-fafaa73a0378,af1daf1c-d053-4d1c-a702-4800d4a141b9,Anak Tiri,3,PT Thamrin Wacana (Persero) Tbk School,6,"Gg. Yos Sudarso No. 512, Sukabumi, JT 65505",+62 (0309) 454-3408,"Jalan Sadang Serang No. 4, Madiun, KB 70069",082 840 7932
13027500,4885494014,"Talia Kusumo, S.Pt",Malang,2009-09-16,P,Konghucu,"Jalan Moch. Ramdan No. 34, Makassar, Gorontalo 00011",+62 (097) 806-1914,2023-06-12,"R. Padma Uyainah, M.M.","Hj. Sakura Sihotang, S.I.Kom",Retail buyer,Emergency planning/management officer,<1jt,Jumadi Maheswara,Restaurant manager,5366870894697941,6f5b7b5e-2a11-46eb-8f76-f03a1a31c971,3d53a03c-6859-440e-a479-a472e6229d89,Anak Kandung,4,PT Pradana Maryati Tbk School,1,"Jl. Dipenogoro No. 3, Tangerang Selatan, BT 27767",+62 (073) 460-0896,"Jalan Raya Ujungberung No. 193, Tebingtinggi, Sumatera Barat 87773",+62-093-456-8054
39602418,3781450007,Faizah Yolanda,Ambon,2009-07-31,L,Islam,"Jalan Tebet Barat Dalam No. 135, Denpasar, BT 22832",+62-475-232-9037,2020-06-26,"Parman Hastuti, S.H.",Nurul Agustina,Quantity surveyor,Electronics engineer,3-5jt,Hasan Gunawan,Furniture designer,2596042488514104,d22638d5-5ece-4aa1-9d00-9acaacd2eb92,256a487c-1a56-4e55-8e66-a6b63d4f1914,Anak Kandung,2,Perum Wibowo Puspita Tbk School,5,"Jalan Jamika No. 40, Meulaboh, MA 31902",+62-204-486-8885,"Gang Asia Afrika No. 7, Sungai Penuh, SB 50800",+62-576-339-8936
83080933,8341686412,"Sari Agustina, S.E.I",Tebingtinggi,2016-07-28,L,Islam,"Gg. Cikutra Barat No. 61, Kotamobagu, Sulawesi Utara 46810",+62-37-422-3776,2021-02-14,R.A. Fitria Hartati,Bagiya Saefullah,Geophysicist/field seismologist,Exhibition designer,1-3jt,T. Jayeng Lailasari,Facilities manager,9701818800240130,c3d13647-145a-48e2-a40a-8ae71da11ce5,f2dc1823-8286-4fef-9ff0-d763f4f1d4f6,Anak Tiri,1,Perum Maryadi School,4,"Jalan Gedebage Selatan No. 64, Tangerang, Sulawesi Tengah 17850",+62-52-567-1169,"Jalan Pacuan Kuda No. 980, Bontang, Nusa Tenggara Timur 72812",+62-237-820-5102
85152037,2503439856,Padmi Manullang,Tual,2018-03-29,P,Katolik,"Jl. H.J Maemunah No. 9, Bekasi, BT 72840",+62 (019) 805-1216,2020-07-29,Lasmanto Iswahyudi,Karimah Wibisono,"Librarian, academic",Product designer,>5jt,"H. Daniswara Wulandari, M.M.","Chemist, analytical",2470768330200434,c6364c17-8947-4459-aed8-4b970cec38e1,2c540585-eda2-468b-9301-b0d0d6874e4b,Anak Tiri,1,Perum Hastuti Safitri Tbk School,1,"Jalan M.H Thamrin No. 42, Madiun, SU 07120",+62-0448-849-2301,"Jalan Kutai No. 65, Meulaboh, Jawa Timur 86962",+62-0334-443-1620
33028896,9068172759,Umar Samosir,Pangkalpinang,2019-03-24,P,Kristen,"Jalan Rajawali Timur No. 15, Tebingtinggi, Kalimantan Utara 97390",+62 (0942) 953-7133,2022-03-24,"Sabrina Tarihoran, S.E.I",Ellis Nasyiah,Training and development officer,Media planner,3-5jt,"Edi Suwarno, S.Farm","Designer, jewellery",1255010898039905,f3348888-e7c2-490c-8ef4-d956bae9f535,0dc2c000-6236-4f50-99aa-05c1c1184ee4,Anak Angkat,4,CV Haryanto (Persero) Tbk School,3,"Gang Kutai No. 93, Kota Administrasi Jakarta Barat, Kalimantan Utara 33851",+62-17-967-5780,"Jalan Yos Sudarso No. 361, Gorontalo, MA 59363",+62 (492) 902-0506
72171873,2621081789,"R.A. Melinda Prastuti, S.Sos",Tegal,2008-04-09,P,Islam,"Gang Yos Sudarso No. 91, Kediri, SN 97797",+62 (78) 739 0693,2020-11-25,Maya Pradana,Cakrawala Pratiwi,Learning disability nurse,Higher education lecturer,>5jt,Febi Mayasari,English as a second language teacher,9824212347265741,ae7a0cf3-dc7c-484b-b7ee-1846df70d285,4c1d87a0-dd20-41ac-a141-2c4b3755a250,Anak Angkat,4,PD Maryati Rajata (Persero) Tbk School,6,"Jalan Ahmad Dahlan No. 1, Tual, KR 05802",081 244 6318,"Gg. Monginsidi No. 459, Batam, Jawa Tengah 63518",0803662390
74349417,7821571662,"Oskar Situmorang, S.Pd",Kupang,2007-06-23,L,Katolik,"Jalan Joyoboyo No. 7, Kupang, ST 26313",+62 (073) 542 9501,2023-04-03,Gina Aryani,Kenes Hassanah,"Embryologist, clinical",Analytical chemist,>5jt,"Ir. Violet Halim, S.IP","Conservator, furniture",9233231324311056,439de022-7693-4993-9ba0-a1b1d37f0d3a,1656fc8e-1d3c-46f7-8856-0533f06b701f,Anak Kandung,4,PT Nuraini Budiyanto Tbk School,3,"Gg. Ahmad Dahlan No. 84, Jayapura, KI 95795",+62 (45) 948 8990,"Gg. Laswi No. 58, Balikpapan, Jawa Barat 41958",+62 (01) 104 6310
74124095,7103650313,"Clara Uyainah, S.E.",Dumai,2010-06-25,P,Islam,"Gang Setiabudhi No. 072, Tomohon, BA 18437",+62-0597-098-6853,2019-09-22,Sabar Namaga,Mahdi Siregar,Occupational hygienist,Trading standards officer,3-5jt,"Tasnim Wastuti, S.Pt","Surveyor, building",9414968813238496,1a112566-096d-402a-84d8-670c69c43d67,580ddbf3-b704-4282-8479-132bbcdebebf,Anak Angkat,2,PD Sirait Napitupulu School,6,"Jl. Bangka Raya No. 3, Tanjungbalai, ST 27533",(042) 865 0742,"Gg. Rajawali Barat No. 624, Palembang, SU 75809",+62 (54) 912-7134
91441496,9350913322,"Prabowo Astuti, S.I.Kom",Tegal,2015-04-02,L,Konghucu,"Jalan Pasir Koja No. 189, Kupang, NB 66856",+62 (556) 603-0916,2020-02-14,Hj. Bella Usada,Bagas Mansur,Operations geologist,Patent examiner,3-5jt,Rafid Mayasari,"Geologist, engineering",5340155310584994,8746d1b3-6019-40ab-b621-f1c0ded93b47,7ff9b2f6-4894-41e5-a0a6-4c4656258e6d,Anak Angkat,4,UD Sitompul School,6,"Gg. Otto Iskandardinata No. 5, Purwokerto, Kepulauan Riau 56275",(097) 737-7560,"Jl. Sentot Alibasa No. 55, Gorontalo, BB 87881",(032) 834 5352
85556078,9991950884,Teddy Manullang,Pagaralam,2015-12-30,L,Budha,"Jl. Waringin No. 457, Madiun, Sulawesi Utara 35598",(043) 618-5923,2022-07-24,"R. Genta Siregar, M.Ak",R.M. Laswi Habibi,Radiation protection practitioner,"Horticulturist, amenity",1-3jt,Maria Lazuardi,Drilling engineer,4334365924807217,0f8f7cbf-01c5-4fb2-98fe-52a96ade01c9,e76689cf-e072-4f6b-878a-d6ccfae4e48e,Anak Angkat,3,PD Natsir (Persero) Tbk School,6,"Gg. Rawamangun No. 7, Malang, ST 85364",+62 (49) 254-8802,"Gg. Ciwastra No. 0, Pematangsiantar, KU 93288",+62 (31) 056 0459
29815405,5421243800,Dt. Kuncara Pradipta,Padangpanjang,2010-12-23,L,Konghucu,"Gang Antapani Lama No. 0, Padang Sidempuan, KB 87985",+62-927-303-3422,2023-10-23,Hendra Permata,"T. Prakosa Rahimah, S.Psi",Interpreter,"Teacher, secondary school",<1jt,Rahayu Habibi,Jewellery designer,3257466875321489,d99a2355-1d76-40ae-8740-e7565f4c26a7,f6207492-5863-4359-8109-047f9c3c538e,Anak Angkat,3,CV Maryati Widiastuti (Persero) Tbk School,2,"Gg. Tubagus Ismail No. 7, Prabumulih, BB 22494",0847794964,"Gang Kutisari Selatan No. 8, Tangerang Selatan, Sulawesi Tengah 24368",(0462) 887 6714
17460130,5286553324,"R.A. Lalita Lestari, S.I.Kom",Tanjungbalai,2008-11-19,P,Budha,"Gang Ciwastra No. 05, Banjar, KU 20296",+62 (072) 536 1120,2021-02-06,"R.A. Ulva Pudjiastuti, M.M.",Heryanto Pudjiastuti,Architect,Architectural technologist,>5jt,"Dt. Ganda Rajata, S.I.Kom",IT technical support officer,6237092604588265,b731724c-32c5-46c6-affa-62a02ff271df,76cc04dd-91b5-45bc-b5fd-a8170c778d73,Anak Tiri,2,PD Firmansyah School,4,"Gg. Raya Ujungberung No. 6, Palu, KB 01534",+62 (002) 632 0278,"Jalan Jamika No. 90, Bandung, Maluku 55816",0884870768
46701975,4620276456,Juli Hidayanto,Gorontalo,2014-08-11,P,Budha,"Gg. Kendalsari No. 1, Tomohon, Aceh 64531",+62-082-515-7811,2024-10-22,"Sutan Daliono Nasyidah, M.Pd",Sutan Kurnia Palastri,"Teacher, primary school",Hotel manager,1-3jt,Gabriella Usamah,Medical technical officer,5735694526630319,d4af4c5e-d966-4fca-b3c7-b32ed7907c02,25a5aaac-473a-41c9-a394-955417dbc195,Anak Kandung,2,UD Handayani (Persero) Tbk School,2,"Jl. Ir. H. Djuanda No. 89, Solok, JB 44299",+62 (051) 457 2033,"Jalan Surapati No. 6, Tegal, Sumatera Selatan 80845",(053) 136-4971
